,Month,Year,Adm1,Temp,MoY
1,1,2010,Gao,13.55546129,1_2010
2,2,2010,Gao,17.75050714,2_2010
3,3,2010,Gao,18.32273226,3_2010
4,4,2010,Gao,23.66631667,4_2010
5,5,2010,Gao,26.67188387,5_2010
6,6,2010,Gao,28.67830667,6_2010
7,7,2010,Gao,27.4894,7_2010
8,8,2010,Gao,27.7949871,8_2010
9,9,2010,Gao,26.68317333,9_2010
10,10,2010,Gao,24.73417097,10_2010
11,11,2010,Gao,19.03165333,11_2010
12,12,2010,Gao,13.81406129,12_2010
13,1,2011,Gao,13.4700871,1_2011
14,2,2011,Gao,15.33378571,2_2011
15,3,2011,Gao,20.21475806,3_2011
16,4,2011,Gao,22.15354333,4_2011
17,5,2011,Gao,26.20791613,5_2011
18,6,2011,Gao,28.57273,6_2011
19,7,2011,Gao,28.44707742,7_2011
20,8,2011,Gao,27.21372258,8_2011
21,9,2011,Gao,25.90432333,9_2011
22,10,2011,Gao,21.84994516,10_2011
23,11,2011,Gao,16.60695,11_2011
24,12,2011,Gao,11.4018129,12_2011
25,1,2012,Gao,11.71919032,1_2012
26,2,2012,Gao,15.97359655,2_2012
27,3,2012,Gao,17.13416452,3_2012
28,4,2012,Gao,23.8681,4_2012
29,5,2012,Gao,26.03468065,5_2012
30,6,2012,Gao,28.01165,6_2012
31,7,2012,Gao,27.94817742,7_2012
32,8,2012,Gao,27.18100323,8_2012
33,9,2012,Gao,27.06376667,9_2012
34,10,2012,Gao,23.7379,10_2012
35,11,2012,Gao,19.08361667,11_2012
36,12,2012,Gao,14.20561935,12_2012
37,1,2013,Gao,12.44669032,1_2013
38,2,2013,Gao,14.29003571,2_2013
39,3,2013,Gao,20.28259355,3_2013
40,4,2013,Gao,21.35536333,4_2013
41,5,2013,Gao,26.45880968,5_2013
42,6,2013,Gao,26.50424667,6_2013
43,7,2013,Gao,27.78829677,7_2013
44,8,2013,Gao,27.0697,8_2013
45,9,2013,Gao,26.71436,9_2013
46,10,2013,Gao,22.57399355,10_2013
47,11,2013,Gao,17.89889333,11_2013
48,12,2013,Gao,13.13416129,12_2013
49,1,2014,Gao,14.87203226,1_2014
50,2,2014,Gao,14.40218214,2_2014
