,Date,Adm1,precipitation
1,1-Jan-10,Tombouctou,0.147
2,6-Jan-10,Tombouctou,0.128
3,11-Jan-10,Tombouctou,0.121
4,16-Jan-10,Tombouctou,0.119
5,21-Jan-10,Tombouctou,0.12
6,26-Jan-10,Tombouctou,0.157
7,1-Feb-10,Tombouctou,0.182
8,6-Feb-10,Tombouctou,0.185
9,11-Feb-10,Tombouctou,0.194
10,16-Feb-10,Tombouctou,0.191
11,21-Feb-10,Tombouctou,0.174
12,26-Feb-10,Tombouctou,0.091
13,1-Mar-10,Tombouctou,0.095
14,6-Mar-10,Tombouctou,0.078
15,11-Mar-10,Tombouctou,0.07
16,16-Mar-10,Tombouctou,0.068
17,21-Mar-10,Tombouctou,0.075
18,26-Mar-10,Tombouctou,0.093
19,1-Apr-10,Tombouctou,0.114
20,6-Apr-10,Tombouctou,0.109
21,11-Apr-10,Tombouctou,0.169
22,16-Apr-10,Tombouctou,0.511
23,21-Apr-10,Tombouctou,0.234
24,26-Apr-10,Tombouctou,0.174
25,1-May-10,Tombouctou,0.106
26,6-May-10,Tombouctou,0.111
27,11-May-10,Tombouctou,0.116
28,16-May-10,Tombouctou,0.124
29,21-May-10,Tombouctou,0.123
30,26-May-10,Tombouctou,0.202
31,1-Jun-10,Tombouctou,0.159
32,6-Jun-10,Tombouctou,0.196
33,11-Jun-10,Tombouctou,0.194
34,16-Jun-10,Tombouctou,0.174
35,21-Jun-10,Tombouctou,0.254
36,26-Jun-10,Tombouctou,0.449
37,1-Jul-10,Tombouctou,0.891
38,6-Jul-10,Tombouctou,1.212
39,11-Jul-10,Tombouctou,1.29
40,16-Jul-10,Tombouctou,1.039
41,21-Jul-10,Tombouctou,6.06
42,26-Jul-10,Tombouctou,2.311
43,1-Aug-10,Tombouctou,2.87
44,6-Aug-10,Tombouctou,10.427
45,11-Aug-10,Tombouctou,7.612
46,16-Aug-10,Tombouctou,3.22
47,21-Aug-10,Tombouctou,3.417
48,26-Aug-10,Tombouctou,3.649
49,1-Sep-10,Tombouctou,8.554
50,6-Sep-10,Tombouctou,6.159
51,11-Sep-10,Tombouctou,3.032
52,16-Sep-10,Tombouctou,6.609
53,21-Sep-10,Tombouctou,0.959
54,26-Sep-10,Tombouctou,0.871
55,1-Oct-10,Tombouctou,0.505
56,6-Oct-10,Tombouctou,0.379
57,11-Oct-10,Tombouctou,0.253
58,16-Oct-10,Tombouctou,0.185
59,21-Oct-10,Tombouctou,0.101
60,26-Oct-10,Tombouctou,0.082
