Month,Year,Adm1,Temp,MoY
1,2010,Arusha,19.6025129,1_2010
2,2010,Arusha,20.18067857,2_2010
3,2010,Arusha,20.19046452,3_2010
4,2010,Arusha,19.51330333,4_2010
5,2010,Arusha,18.31866774,5_2010
6,2010,Arusha,17.06696333,6_2010
7,2010,Arusha,16.03779677,7_2010
8,2010,Arusha,16.92461935,8_2010
9,2010,Arusha,18.31300333,9_2010
10,2010,Arusha,20.39967097,10_2010
11,2010,Arusha,20.35730333,11_2010
12,2010,Arusha,19.88719355,12_2010
1,2011,Arusha,19.41955484,1_2011
2,2011,Arusha,19.78343929,2_2011
3,2011,Arusha,20.0474871,3_2011
4,2011,Arusha,18.98307667,4_2011
5,2011,Arusha,17.78578065,5_2011
6,2011,Arusha,16.96850667,6_2011
7,2011,Arusha,16.23712903,7_2011
8,2011,Arusha,16.51479355,8_2011
9,2011,Arusha,18.22690667,9_2011
10,2011,Arusha,19.68342258,10_2011
11,2011,Arusha,20.4016,11_2011
12,2011,Arusha,19.77356129,12_2011
1,2012,Arusha,20.0384129,1_2012
2,2012,Arusha,19.94798276,2_2012
3,2012,Arusha,20.52134194,3_2012
4,2012,Arusha,18.93304,4_2012
5,2012,Arusha,17.96584516,5_2012
6,2012,Arusha,16.54088,6_2012
7,2012,Arusha,15.78866452,7_2012
8,2012,Arusha,16.79635161,8_2012
9,2012,Arusha,18.18858667,9_2012
10,2012,Arusha,19.92676129,10_2012
11,2012,Arusha,20.19965,11_2012
12,2012,Arusha,19.8545,12_2012
1,2013,Arusha,19.39142581,1_2013
2,2013,Arusha,19.72566786,2_2013
3,2013,Arusha,19.82469677,3_2013
4,2013,Arusha,18.52009333,4_2013
5,2013,Arusha,17.11607097,5_2013
6,2013,Arusha,15.88439667,6_2013
7,2013,Arusha,15.46647419,7_2013
8,2013,Arusha,16.42655161,8_2013
9,2013,Arusha,18.70986667,9_2013
10,2013,Arusha,19.44889677,10_2013
11,2013,Arusha,20.08711667,11_2013
12,2013,Arusha,19.05854194,12_2013
1,2014,Arusha,19.28601935,1_2014
2,2014,Arusha,19.33279643,2_2014
3,2014,Arusha,19.32151935,3_2014
4,2014,Arusha,18.62400667,4_2014
5,2014,Arusha,17.51874194,5_2014
6,2014,Arusha,16.69404,6_2014
7,2014,Arusha,15.88841613,7_2014
8,2014,Arusha,17.18906452,8_2014
9,2014,Arusha,17.66479,9_2014
10,2014,Arusha,19.95900645,10_2014
11,2014,Arusha,20.29036333,11_2014
12,2014,Arusha,19.52021613,12_2014
1,2015,Arusha,19.79922581,1_2015
2,2015,Arusha,19.93626786,2_2015
3,2015,Arusha,19.90772581,3_2015
4,2015,Arusha,18.91319667,4_2015
5,2015,Arusha,17.85134839,5_2015
6,2015,Arusha,17.12193,6_2015
7,2015,Arusha,16.14445484,7_2015
8,2015,Arusha,16.69587419,8_2015
9,2015,Arusha,18.55373,9_2015
10,2015,Arusha,20.0895871,10_2015
11,2015,Arusha,20.37561333,11_2015
12,2015,Arusha,19.68334516,12_2015
1,2016,Arusha,19.55284194,1_2016
2,2016,Arusha,19.72562759,2_2016
3,2016,Arusha,20.70947419,3_2016
4,2016,Arusha,18.98833667,4_2016
5,2016,Arusha,17.45251935,5_2016
6,2016,Arusha,16.23608,6_2016
7,2016,Arusha,15.84296129,7_2016
8,2016,Arusha,16.47545806,8_2016
9,2016,Arusha,17.66466,9_2016
10,2016,Arusha,19.75770323,10_2016
11,2016,Arusha,19.65737333,11_2016
12,2016,Arusha,19.58878065,12_2016
1,2017,Arusha,19.91144516,1_2017
2,2017,Arusha,19.39659286,2_2017
3,2017,Arusha,20.37364516,3_2017
4,2017,Arusha,18.91611333,4_2017
5,2017,Arusha,17.72393226,5_2017
6,2017,Arusha,16.69322,6_2017
7,2017,Arusha,16.11532903,7_2017
8,2017,Arusha,17.0916129,8_2017
9,2017,Arusha,18.49412,9_2017
10,2017,Arusha,20.38253548,10_2017
11,2017,Arusha,19.79150333,11_2017
12,2017,Arusha,20.17826129,12_2017
1,2018,Arusha,19.36352258,1_2018
2,2018,Arusha,19.55828929,2_2018
3,2018,Arusha,18.58474194,3_2018
4,2018,Arusha,18.07025,4_2018
5,2018,Arusha,17.13257742,5_2018
6,2018,Arusha,16.16098667,6_2018
7,2018,Arusha,15.66342581,7_2018
8,2018,Arusha,16.59199677,8_2018
9,2018,Arusha,17.4321,9_2018
1,2010,DarEsSalaam,27.93210323,1_2010
2,2010,DarEsSalaam,28.28913214,2_2010
3,2010,DarEsSalaam,27.84237097,3_2010
4,2010,DarEsSalaam,26.43359,4_2010
5,2010,DarEsSalaam,26.13271613,5_2010
6,2010,DarEsSalaam,25.34085667,6_2010
7,2010,DarEsSalaam,24.38196452,7_2010
8,2010,DarEsSalaam,24.84207419,8_2010
9,2010,DarEsSalaam,25.75924,9_2010
10,2010,DarEsSalaam,28.39676774,10_2010
11,2010,DarEsSalaam,27.49409333,11_2010
12,2010,DarEsSalaam,27.11034516,12_2010
1,2011,DarEsSalaam,27.58821935,1_2011
2,2011,DarEsSalaam,27.17315357,2_2011
3,2011,DarEsSalaam,27.43949677,3_2011
4,2011,DarEsSalaam,25.37700333,4_2011
5,2011,DarEsSalaam,24.44993871,5_2011
6,2011,DarEsSalaam,23.83828667,6_2011
7,2011,DarEsSalaam,23.91358065,7_2011
8,2011,DarEsSalaam,24.79330968,8_2011
9,2011,DarEsSalaam,25.79364333,9_2011
10,2011,DarEsSalaam,27.27460323,10_2011
11,2011,DarEsSalaam,28.47381,11_2011
12,2011,DarEsSalaam,27.49659355,12_2011
1,2012,DarEsSalaam,27.86695161,1_2012
2,2012,DarEsSalaam,27.82811724,2_2012
3,2012,DarEsSalaam,27.30853226,3_2012
4,2012,DarEsSalaam,25.58724667,4_2012
5,2012,DarEsSalaam,24.47174516,5_2012
6,2012,DarEsSalaam,23.86516,6_2012
7,2012,DarEsSalaam,23.79857097,7_2012
8,2012,DarEsSalaam,24.96448065,8_2012
9,2012,DarEsSalaam,26.57720333,9_2012
10,2012,DarEsSalaam,28.42147097,10_2012
11,2012,DarEsSalaam,28.38805,11_2012
12,2012,DarEsSalaam,27.42875806,12_2012
1,2013,DarEsSalaam,27.30422258,1_2013
2,2013,DarEsSalaam,28.09027857,2_2013
3,2013,DarEsSalaam,26.5160129,3_2013
4,2013,DarEsSalaam,25.35742667,4_2013
5,2013,DarEsSalaam,24.03276774,5_2013
6,2013,DarEsSalaam,23.044,6_2013
7,2013,DarEsSalaam,23.20225161,7_2013
8,2013,DarEsSalaam,24.33087742,8_2013
9,2013,DarEsSalaam,26.64516,9_2013
10,2013,DarEsSalaam,26.96681613,10_2013
11,2013,DarEsSalaam,28.11344667,11_2013
12,2013,DarEsSalaam,27.66263548,12_2013
1,2014,DarEsSalaam,27.90152903,1_2014
2,2014,DarEsSalaam,27.66651429,2_2014
3,2014,DarEsSalaam,26.41582903,3_2014
4,2014,DarEsSalaam,25.24998667,4_2014
5,2014,DarEsSalaam,23.98112581,5_2014
6,2014,DarEsSalaam,23.49730333,6_2014
7,2014,DarEsSalaam,23.46174194,7_2014
8,2014,DarEsSalaam,24.82746774,8_2014
9,2014,DarEsSalaam,25.62972333,9_2014
10,2014,DarEsSalaam,27.46217419,10_2014
11,2014,DarEsSalaam,28.27297,11_2014
12,2014,DarEsSalaam,27.43617742,12_2014
1,2015,DarEsSalaam,26.7163871,1_2015
2,2015,DarEsSalaam,28.357225,2_2015
3,2015,DarEsSalaam,27.25553871,3_2015
4,2015,DarEsSalaam,25.62334667,4_2015
5,2015,DarEsSalaam,24.7559,5_2015
6,2015,DarEsSalaam,24.16165333,6_2015
7,2015,DarEsSalaam,24.28519355,7_2015
8,2015,DarEsSalaam,25.3168129,8_2015
9,2015,DarEsSalaam,27.00974667,9_2015
10,2015,DarEsSalaam,28.60702903,10_2015
11,2015,DarEsSalaam,27.53303667,11_2015
12,2015,DarEsSalaam,28.12396774,12_2015
1,2016,DarEsSalaam,27.65654839,1_2016
2,2016,DarEsSalaam,27.65522069,2_2016
3,2016,DarEsSalaam,28.48672903,3_2016
4,2016,DarEsSalaam,26.18812667,4_2016
5,2016,DarEsSalaam,24.39538065,5_2016
6,2016,DarEsSalaam,23.88339667,6_2016
7,2016,DarEsSalaam,23.53878065,7_2016
8,2016,DarEsSalaam,25.01374516,8_2016
9,2016,DarEsSalaam,25.99672667,9_2016
10,2016,DarEsSalaam,28.18304516,10_2016
11,2016,DarEsSalaam,28.45663,11_2016
12,2016,DarEsSalaam,27.98690323,12_2016
1,2017,DarEsSalaam,27.89905484,1_2017
2,2017,DarEsSalaam,27.90513571,2_2017
3,2017,DarEsSalaam,27.17586452,3_2017
4,2017,DarEsSalaam,25.29909,4_2017
5,2017,DarEsSalaam,24.01002903,5_2017
6,2017,DarEsSalaam,23.55917667,6_2017
