,Date,Adm1,precipitation
1,1-Jan-10,Mara,22.016
2,6-Jan-10,Mara,32.991
3,11-Jan-10,Mara,8.093
4,16-Jan-10,Mara,5.706
5,21-Jan-10,Mara,16.688
6,26-Jan-10,Mara,3.752
7,1-Feb-10,Mara,3.779
8,6-Feb-10,Mara,16.001
9,11-Feb-10,Mara,2.976
10,16-Feb-10,Mara,47.589
11,21-Feb-10,Mara,50.785
12,26-Feb-10,Mara,9.466
13,1-Mar-10,Mara,36.889
14,6-Mar-10,Mara,26.216
15,11-Mar-10,Mara,5.004
16,16-Mar-10,Mara,18.464
17,21-Mar-10,Mara,57.358
18,26-Mar-10,Mara,87.358
19,1-Apr-10,Mara,27.483
20,6-Apr-10,Mara,8.976
21,11-Apr-10,Mara,47.804
22,16-Apr-10,Mara,42.834
23,21-Apr-10,Mara,27.119
24,26-Apr-10,Mara,29.395
25,1-May-10,Mara,22.853
26,6-May-10,Mara,21.743
27,11-May-10,Mara,35.489
28,16-May-10,Mara,21.723
29,21-May-10,Mara,12.525
30,26-May-10,Mara,4.717
31,1-Jun-10,Mara,11.985
32,6-Jun-10,Mara,7.748
33,11-Jun-10,Mara,4.424
34,16-Jun-10,Mara,8.925
35,21-Jun-10,Mara,3.472
36,26-Jun-10,Mara,2.234
37,1-Jan-11,Mara,2.76
38,6-Jan-11,Mara,16.684
39,11-Jan-11,Mara,16.124
40,16-Jan-11,Mara,10.907
41,21-Jan-11,Mara,4.926
42,26-Jan-11,Mara,8.958
43,1-Feb-11,Mara,8.709
44,6-Feb-11,Mara,2.514
45,11-Feb-11,Mara,17.05
46,16-Feb-11,Mara,36.829
47,21-Feb-11,Mara,2.887
48,26-Feb-11,Mara,1.183
49,1-Mar-11,Mara,6.811
50,6-Mar-11,Mara,15.524
51,11-Mar-11,Mara,24.626
52,16-Mar-11,Mara,40.722
53,21-Mar-11,Mara,28.696
54,26-Mar-11,Mara,84.305
55,1-Apr-11,Mara,36.504
56,6-Apr-11,Mara,18.497
57,11-Apr-11,Mara,16.715
58,16-Apr-11,Mara,13.977
59,21-Apr-11,Mara,29.73
60,26-Apr-11,Mara,21.479
61,1-May-11,Mara,30.648
62,6-May-11,Mara,21.769
63,11-May-11,Mara,5.759
64,16-May-11,Mara,16.263
65,21-May-11,Mara,13.688
66,26-May-11,Mara,15.734
67,1-Jun-11,Mara,2.772
68,6-Jun-11,Mara,4.752
69,11-Jun-11,Mara,15.591
70,16-Jun-11,Mara,5.285
71,21-Jun-11,Mara,9.219
72,26-Jun-11,Mara,27.85
73,1-Jan-12,Mara,1.93
74,6-Jan-12,Mara,4.214
75,11-Jan-12,Mara,8.244
76,16-Jan-12,Mara,9.868
77,21-Jan-12,Mara,3.065
78,26-Jan-12,Mara,2.516
79,1-Feb-12,Mara,2.705
80,6-Feb-12,Mara,2.949
81,11-Feb-12,Mara,4.137
82,16-Feb-12,Mara,19.387
83,21-Feb-12,Mara,13.675
84,26-Feb-12,Mara,14.258
85,1-Mar-12,Mara,44.779
86,6-Mar-12,Mara,8.558
87,11-Mar-12,Mara,3.579
88,16-Mar-12,Mara,10.431
89,21-Mar-12,Mara,5.484
90,26-Mar-12,Mara,14.765
91,1-Apr-12,Mara,32.675
92,6-Apr-12,Mara,28.376
93,11-Apr-12,Mara,29.949
94,16-Apr-12,Mara,48.219
95,21-Apr-12,Mara,60.365
96,26-Apr-12,Mara,24.621
97,1-May-12,Mara,28.014
98,6-May-12,Mara,31.889
99,11-May-12,Mara,20.778
100,16-May-12,Mara,18.675
101,21-May-12,Mara,32.715
102,26-May-12,Mara,14.59
103,1-Jun-12,Mara,5.471
104,6-Jun-12,Mara,11.652
105,11-Jun-12,Mara,6.039
106,16-Jun-12,Mara,2.648
107,21-Jun-12,Mara,13.058
108,26-Jun-12,Mara,19.743
109,1-Jan-13,Mara,5.912
110,6-Jan-13,Mara,21.388
111,11-Jan-13,Mara,5.973
112,16-Jan-13,Mara,4.664
113,21-Jan-13,Mara,2.986
114,26-Jan-13,Mara,19.142
115,1-Feb-13,Mara,10.376
116,6-Feb-13,Mara,2.304
117,11-Feb-13,Mara,10.201
118,16-Feb-13,Mara,4.466
119,21-Feb-13,Mara,3.689
120,26-Feb-13,Mara,1.117
121,1-Mar-13,Mara,3.962
122,6-Mar-13,Mara,24.248
123,11-Mar-13,Mara,15.613
124,16-Mar-13,Mara,9.947
125,21-Mar-13,Mara,41.707
126,26-Mar-13,Mara,70.702
127,1-Apr-13,Mara,50.891
128,6-Apr-13,Mara,37.755
129,11-Apr-13,Mara,90.265
130,16-Apr-13,Mara,39.362
131,21-Apr-13,Mara,25.649
132,26-Apr-13,Mara,26.873
133,1-May-13,Mara,16.425
134,6-May-13,Mara,38.719
